"","","","","","","","","","","","",""
"Innbyggere uten fast lege","347","388","0","","Norge","9999","212225","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","3841","388","Norge","Kommunegruppe 1","999990000","9968","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","3842","388","Norge","Kommunegruppe 2","999990001","27746","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","3843","388","Norge","Kommunegruppe 3","999990002","40250","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","3844","388","Norge","Kommunegruppe 4","999990003","99087","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","3845","388","Norge","Kommunegruppe 5","999990004","35174","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1745","388","Norge","Agder","422020","7883","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1743","388","Norge","Innlandet","342020","20134","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1740","388","Norge","Møre og Romsdal","152020","24567","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1741","388","Norge","Nordland","182020","21386","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1738","388","Norge","Oslo, fylke","32020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1739","388","Norge","Rogaland","112020","20163","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1748","388","Norge","Troms og Finnmark","542020","22218","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1747","388","Norge","Trøndelag","502020","16342","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1744","388","Norge","Vestfold og Telemark","382020","31335","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1746","388","Norge","Vestland","462020","23872","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1742","388","Norge","Viken","302020","24325","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1807","1741","Nordland","Alstahaug","18202020","672","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2068","1748","Troms og Finnmark","Alta","54032020","5465","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1912","1743","Innlandet","Alvdal","34282020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2007","1746","Vestland","Alver","46312020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1837","1741","Nordland","Andøy","18712020","941","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1962","1745","Agder","Arendal","42032020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1861","1742","Viken","Asker","30252020","1126","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2021","1746","Vestland","Askvoll","46452020","758","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2003","1746","Vestland","Askøy","46272020","2107","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1795","1740","Møre og Romsdal","Aure","15762020","1357","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2017","1746","Vestland","Aurland","46412020","1013","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1862","1742","Viken","Aurskog-Høland","30262020","957","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2001","1746","Vestland","Austevoll","46252020","1834","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2008","1746","Vestland","Austrheim","46322020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1789","1740","Møre og Romsdal","Averøy","15542020","1024","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1947","1744","Vestfold og Telemark","Bamble","38132020","896","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","2077","1748","Troms og Finnmark","Bardu","54162020","922","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1821","1741","Nordland","Beiarn","18392020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1985","1746","Vestland","Bergen","46012020","1420","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
"Innbyggere uten fast lege","347","1801","1741","Nordland","Bindal","18112020","0","KVartalvis","Antall innbyggere uten fast lege","Antall","2022-10-01T00:00:00","2022-12-31T00:00:00"
